timestamp,instance_id,cpu_util,mem_util,disk_util,load1,load5,load15,avg_cpi,avg_mpki,max_cpi,max_mpki
2017-01-01 11:00:00,106,44.100000000002545,65.44000091554125,14.239999961860404,6.719999980925857,6.080000019074105,4.939999961851963,0.06462796876827408,0.0343371623644167,0.7261024117470001,0.457575917244
2017-01-01 11:05:00,106,42.40000076293921,65.46000061035672,14.820000076300092,5.720000076293878,6.05999994277995,5.260000038146015,0.06462796876827408,0.0343371623644167,0.7261024117470001,0.457575917244
2017-01-01 11:10:00,106,41.11999969482155,65.46000061036014,15.599999999999332,5.219999980926013,5.6399999618539525,5.280000114437779,0.06462796876827408,0.0343371623644167,0.7261024117470001,0.457575917244
2017-01-01 11:15:00,106,40.76000061036165,65.51999969481965,15.340000152579375,3.9800000190741818,4.6800000190741535,4.980000019071792,0.06462796876827408,0.0343371623644167,0.7261024117470001,0.457575917244
2017-01-01 11:20:00,106,41.50000000001969,65.5,15.140000152599745,4.32000012397596,4.400000000000218,4.760000038145914,0.06462796876827408,0.0343371623644167,0.7261024117470001,0.457575917244
2017-01-01 11:25:00,106,41.659999847421005,65.5,15.760000038140252,4.219999885561943,4.239999961854173,4.599999904632151,0.06462796876827408,0.0343371623644167,0.7261024117470001,0.457575917244
2017-01-01 11:30:00,106,42.280001068117606,65.5199996948184,16.40000000000039,3.9,4.019999933243971,4.400000095367946,0.06462796876827408,0.0343371623644167,0.7261024117470001,0.457575917244
2017-01-01 11:35:00,106,40.54000015258249,65.5,16.120000076279947,3.159999990463964,3.539999961852074,4.079999923706132,0.06462796876827408,0.0343371623644167,0.7261024117470001,0.457575917244
2017-01-01 11:40:00,106,42.01999893188124,65.5,16.42000007629999,3.3800000190720283,3.360000038150024,3.8400000095399816,0.06462796876827408,0.0343371623644167,0.7261024117470001,0.457575917244
2017-01-01 11:45:00,106,43.69999923708153,65.5399993896383,17.159999847438907,4.119999933244152,3.619999980926116,3.800000000001965,0.06462796876827408,0.0343371623644167,0.7261024117470001,0.457575917244
2017-01-01 11:50:00,106,44.519999694802934,65.53999938963996,17.5599998474005,3.8400000095360136,3.840000009538017,3.8600000381500137,0.06462796876827408,0.0343371623644167,0.7261024117470001,0.457575917244
2017-01-01 11:55:00,106,42.840000152599686,65.5199996948184,17.139999771119946,3.1400000095379834,3.4000000000019646,3.659999942778098,0.06462796876827408,0.0343371623644167,0.7261024117470001,0.457575917244
2017-01-01 12:00:00,106,47.49999923706139,65.5,15.55999984742085,3.2800000667560907,3.380000019075951,3.5599999427780364,0.06168411870797595,0.03133882242772036,0.7531256675720001,0.45535907149300003
2017-01-01 12:05:00,106,44.559999847419775,65.51999969482044,16.32000007628072,3.0399999618539733,3.1599999904620018,3.46000003814795,0.06168411870797595,0.03133882242772036,0.7531256675720001,0.45535907149300003
2017-01-01 12:10:00,106,43.98000030516136,65.5,15.40000019075964,3.8599999427800937,3.4599999904619803,3.5000000000001177,0.06168411870797595,0.03133882242772036,0.7531256675720001,0.45535907149300003
2017-01-01 12:15:00,106,45.21999969481968,65.51999969482007,16.08000011442063,5.1200000286098515,4.159999990464017,3.7399999618520567,0.06168411870797595,0.03133882242772036,0.7531256675720001,0.45535907149300003
2017-01-01 12:20:00,106,43.239999389660454,65.55999908446127,16.799999999999624,6.8599999427820455,5.800000000000103,4.56000003814607,0.06168411870797595,0.03133882242772036,0.7531256675720001,0.45535907149300003
2017-01-01 12:25:00,106,46.24000015257744,65.53999938963885,16.759999847400596,7.15999994278187,6.619999980925897,5.30000000000003,0.06168411870797595,0.03133882242772036,0.7531256675720001,0.45535907149300003
2017-01-01 12:30:00,106,45.399999999979954,65.53999938964175,17.10000038144034,6.339999961852253,6.420000076294093,5.579999923706131,0.06168411870797595,0.03133882242772036,0.7531256675720001,0.45535907149300003
2017-01-01 12:35:00,106,43.120000457758046,65.5,17.79999999999964,5.6800000190743205,5.9600000381459415,5.599999904630282,0.06168411870797595,0.03133882242772036,0.7531256675720001,0.45535907149300003
2017-01-01 12:40:00,106,41.40000076289902,65.5,17.899999618559193,4.519999980925887,5.2600000381460825,5.400000095365878,0.06168411870797595,0.03133882242772036,0.7531256675720001,0.45535907149300003
2017-01-01 12:45:00,106,42.91999969482053,65.5,17.820000076280586,4.340000057221824,4.639999866488155,5.079999923706125,0.06168411870797595,0.03133882242772036,0.7531256675720001,0.45535907149300003
2017-01-01 12:50:00,106,42.799999237062,65.53999938964175,18.540000152560133,4.460000038145992,4.559999942777933,4.940000057221886,0.06168411870797595,0.03133882242772036,0.7531256675720001,0.45535907149300003
2017-01-01 12:55:00,106,42.18000106811746,65.5199996948199,19.240000152600256,3.880000066755799,4.199999904632132,4.679999923706165,0.06168411870797595,0.03133882242772036,0.7531256675720001,0.45535907149300003
2017-01-01 13:00:00,106,43.16000061035922,65.55999908446107,16.000000190720232,3.900000000001876,4.019999980927883,4.480000019073813,0.06388157406193287,0.032743159767465425,1.07281136513,0.472314953804
2017-01-01 13:05:00,106,41.84000091551851,65.5199996948199,16.44000015258038,3.260000038148076,3.5999999523159647,4.179999923705862,0.06388157406193287,0.032743159767465425,1.07281136513,0.472314953804
2017-01-01 13:10:00,106,40.61999969483934,65.5199996948199,17.020000076300274,3.400000047684068,3.4000000476860457,3.940000057221978,0.06388157406193287,0.032743159767465425,1.07281136513,0.472314953804
2017-01-01 13:15:00,106,38.56000061035823,65.5399993896397,17.020000076280112,2.8599999904639453,3.1800000190720312,3.699999952315956,0.06388157406193287,0.032743159767465425,1.07281136513,0.472314953804
