Date/Time,Cooling Load(kWh),Site Outdoor Air Drybulb Temperature [C](Hourly),Site Outdoor Air Wetbulb Temperature [C](Hourly),Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Site Wind Speed [m/s](Hourly),Chiller Electricity Energy(kWh)
 08/30  15:00:00,0,30.825,25.14683955,0.018052889,2,0
 08/30  16:00:00,0,30.46666667,25.00131749,0.017970432,2,0
 08/30  17:00:00,0,30.125,24.86670439,0.017903559,2,0
 08/30  18:00:00,0,29.41666667,24.68729559,0.017904158,1.825,0
 08/30  19:00:00,0,28.41666667,24.41787421,0.017878626,1.466666667,0
 08/30  20:00:00,0,27.41666667,24.19185918,0.01792463,1.125,0
 08/30  21:00:00,0,26.825,24.03105564,0.017908757,0.883333333,0
 08/30  22:00:00,0,26.46666667,23.91970621,0.017882666,0.741666667,0
 08/30  23:00:00,0,26.125,23.877114,0.017959684,0.583333333,0
 08/30  24:00:00,0,25.825,23.78756001,0.017933384,0.383333333,0
 08/31  01:00:00,0,25.46666667,23.65996212,0.017875448,0.241666667,0
 08/31  02:00:00,0,25.125,23.59869993,0.017923811,0.083333333,0
 08/31  03:00:00,0,24.825,22.23803415,0.015982806,0,0
 08/31  04:00:00,0,24.46666667,19.94790722,0.012885984,0,0
 08/31  05:00:00,0,24.125,17.8677179,0.010332583,0,0
 08/31  06:00:00,0,24.58333333,18.45289071,0.010880512,0,0
 08/31  07:00:00,0,25.58333333,20.94862662,0.01379152,0,0
 08/31  08:00:00,488.4931528,26.58333333,23.65946091,0.017403575,0,316.9742358
 08/31  09:00:00,603.6232278,27.75833333,24.69418358,0.018549649,0,388.5177311
 08/31  10:00:00,618.5573292,29.11666667,24.5794509,0.017773249,0,367.1718447
 08/31  11:00:00,626.0768506,30.45833333,24.53275913,0.017120944,0,354.5410556
 08/31  12:00:00,621.6506872,31.175,24.5375244,0.016837519,0.583333333,346.4577347
 08/31  13:00:00,573.9821775,31.53333333,24.6624346,0.016898326,1.583333333,331.9326042
 08/31  14:00:00,640.2258753,31.875,24.76845133,0.016939596,2.583333333,347.4865028
 08/31  15:00:00,672.1477381,32,24.68586669,0.016759919,2.825,359.6377056
 08/31  16:00:00,691.1038839,32,24.38240268,0.01627822,2.466666667,362.2943375
 08/31  17:00:00,697.2645783,32,24.10834807,0.015845692,2.125,359.9065417
 08/31  18:00:00,595.3912781,31.24166667,24.26173978,0.016423266,1.825,328.7221994
 08/31  19:00:00,445.7467756,29.88333333,24.58813178,0.017535395,1.466666667,288.6917664
 08/31  20:00:00,423.284435,28.54166667,24.9156366,0.018644894,1.125,286.1994711
 08/31  21:00:00,319.7080786,27.70833333,24.86174628,0.01889732,0.883333333,258.7468069
 08/31  22:00:00,0,27.38333333,24.70220442,0.01876265,0.975,0
 08/31  23:00:00,0,27.18333333,24.57414947,0.018625384,1.216666667,0
 08/31  24:00:00,0,26.98333333,24.38537776,0.018393771,1.475,0
 09/01  01:00:00,0,26.78333333,24.28079101,0.018274315,1.775,0
 09/01  02:00:00,0,26.58333333,24.15140264,0.018126201,2.075,0
 09/01  03:00:00,0,26.38333333,23.96175665,0.017907643,2.316666667,0
 09/01  04:00:00,0,26.18333333,23.85378813,0.017820709,2.575,0
 09/01  05:00:00,0,26.04166667,23.77733657,0.017759708,2.875,0
 09/01  06:00:00,0,26.175,23.74055414,0.017645023,2.825,0
 09/01  07:00:00,0,26.475,23.82434426,0.017639224,2.466666667,0
 09/01  08:00:00,537.1360494,26.775,23.87933867,0.017591194,2.125,391.2671328
