Date/Time,Cooling Load(kWh£©,Site Outdoor Air Drybulb Temperature [C](Hourly),Site Outdoor Air Wetbulb Temperature [C](Hourly),Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Site Wind Speed [m/s](Hourly),Chiller Electricity Energy(kWh£©
 05/21  01:00:00,0,25,21.11337634,0.014241363,0,0
 05/21  02:00:00,0,25.23333333,20.1433002,0.012797991,0,0
 05/21  03:00:00,0,24.58333333,20.98031298,0.014248261,1.166666667,0
 05/21  04:00:00,0,24.58333333,21.25623713,0.014634571,0.833333333,0
 05/21  05:00:00,0,24.88333333,20.27510114,0.013131478,1.166666667,0
 05/21  06:00:00,0,24.91666667,20.85398625,0.013922927,2,0
 05/21  07:00:00,0,25,21.5333486,0.014837087,2,0
 05/21  08:00:00,289.1371586,25.05833333,20.91071697,0.013923599,2,235.9918541
 05/21  09:00:00,459.4181025,25.625,21.277678,0.014196586,2,290.3006153
 05/21  10:00:00,480.1466128,26,22.21078922,0.015381925,2.583333333,290.0778939
 05/21  11:00:00,482.8328025,26.46666667,20.70460567,0.01305153,2.416666667,272.6504121
 05/21  12:00:00,485.4297989,27.5,20.03508589,0.011684307,2,262.0506199
 05/21  13:00:00,441.8505494,28,20.52001393,0.012141685,1.416666667,250.8333699
 05/21  14:00:00,491.7642253,27.65,19.29266989,0.010658264,1,254.4671984
 05/21  15:00:00,497.7565392,27.75,18.68440069,0.009822748,2.166666667,250.624148
 05/21  16:00:00,514.2981125,28,18.87818148,0.009974768,2.416666667,255.051776
 05/21  17:00:00,507.3568358,27.53333333,18.83289807,0.010115741,2.583333333,252.2678194
 05/21  18:00:00,413.0679722,27.08333333,19.01445909,0.010536544,2.416666667,230.3837678
 05/21  19:00:00,290.2328164,26.41666667,19.67447096,0.011672379,2,207.6886824
 05/21  20:00:00,282.6256308,26.23333333,19.44258184,0.01143633,2,206.3679537
 05/21  21:00:00,216.6077365,25.58333333,19.39010653,0.011628081,2,195.6899009
 05/21  22:00:00,0,25,19.97057342,0.012629306,1.416666667,0
 05/21  23:00:00,0,24.41666667,20.04474149,0.012966466,1.583333333,0
 05/21  24:00:00,0,24.58333333,20.095636,0.012974395,2,0
 05/22  01:00:00,0,25,20.22083052,0.012976229,1.416666667,0
 05/22  02:00:00,0,25.11666667,20.9291838,0.013909785,1.583333333,0
 05/22  03:00:00,0,24.5,21.28110151,0.014672395,2,0
 05/22  04:00:00,0,23.41666667,21.45982097,0.015391667,1.416666667,0
 05/22  05:00:00,0,23.875,21.33857573,0.015015637,2.166666667,0
 05/22  06:00:00,0,23.04166667,20.80297435,0.014601703,2.416666667,0
 05/22  07:00:00,0,23.16666667,21.31044296,0.015269493,2,0
 05/22  08:00:00,265.3526821,24.525,21.3709046,0.014772793,1.416666667,229.2219176
 05/22  09:00:00,471.179885,25.54166667,21.85490298,0.01502968,2.166666667,306.3225139
 05/22  10:00:00,505.6205889,27.16666667,22.07438251,0.014656906,2.416666667,303.3170822
 05/22  11:00:00,521.1468942,28.35,20.59433346,0.012067777,2,282.1819792
 05/22  12:00:00,531.7442419,28.83333333,21.82663591,0.013635674,2,287.6839603
 05/22  13:00:00,489.8104286,29,23.27484308,0.015706016,3.166666667,288.1721447
 05/22  14:00:00,550.0238239,29.64166667,22.16885464,0.013792913,4,294.6859233
 05/22  15:00:00,564.7463106,28.875,23.16600615,0.015632592,4,307.3951736
 05/22  16:00:00,564.9692367,28,23.93923304,0.017187783,4,318.9744036
 05/22  17:00:00,568.4144814,28.23333333,22.06692759,0.0142513,4.583333333,302.3296242
 05/22  18:00:00,472.7491847,28.16666667,21.7669389,0.013827293,5,268.8762141
 05/22  19:00:00,344.7162881,28,22.7763239,0.01538554,4.416666667,243.5362549
 05/22  20:00:00,325.9052367,26.775,22.13302981,0.014936133,4,234.2374107
 05/22  21:00:00,241.6215496,25.95833333,22.05035611,0.015147442,4.583333333,215.8751036
 05/22  22:00:00,0,26,22.45734358,0.015719904,4.416666667,0
 05/22  23:00:00,0,26,22.45776639,0.015713254,4.583333333,0
 05/22  24:00:00,0,25.70833333,22.60627954,0.016069182,2.083333333,0
 05/23  01:00:00,0,25.20833333,22.75598868,0.016513446,1.166666667,0
 05/23  02:00:00,0,25.11666667,22.49658016,0.016172387,2,0
 05/23  03:00:00,0,24.5,22.49419716,0.016436405,2,0
 05/23  04:00:00,0,24.58333333,22.72225361,0.016744558,2,0
 05/23  05:00:00,0,24.825,22.14191297,0.015777587,2.583333333,0
 05/23  06:00:00,0,24.29166667,22.24048959,0.016147872,2.416666667,0
 05/23  07:00:00,0,24.58333333,22.32863241,0.01614415,3.166666667,0
 05/23  08:00:00,0,25.11666667,21.87948403,0.015249725,4,0
 05/23  09:00:00,0,26.25,22.68713677,0.015976305,4,0
 05/23  10:00:00,0,27.58333333,23.55840084,0.016744044,3.416666667,0
 05/23  11:00:00,0,27.53333333,22.52418784,0.01519411,3,0
 05/23  12:00:00,0,28.83333333,22.82915905,0.015115566,4.166666667,0
 05/23  13:00:00,0,30,23.62815845,0.01585188,5,0
 05/23  14:00:00,0,29.00833333,22.96734952,0.01526351,5,0
 05/23  15:00:00,0,29.29166667,22.74683362,0.014815008,5,0
 05/23  16:00:00,0,29.41666667,23.13115638,0.015346867,5,0
 05/23  17:00:00,0,28.18333333,22.45799008,0.014861916,3.833333333,0
 05/23  18:00:00,0,27.83333333,22.55936346,0.015156508,3.583333333,0
 05/23  19:00:00,0,27.41666667,22.88863028,0.015818602,4,0
 05/23  20:00:00,0,26.35833333,22.62241298,0.015861965,2.833333333,0
 05/23  21:00:00,0,25.95833333,22.89823,0.016439065,2.583333333,0
 05/23  22:00:00,0,25.825,23.01146475,0.016659894,2.883333333,0
 05/23  23:00:00,0,25.525,22.64802031,0.016234748,2.683333333,0
 05/23  24:00:00,0,25.225,22.30880582,0.015853261,2.425,0
 05/24  01:00:00,0,24.925,22.02845627,0.015565388,2.183333333,0
 05/24  02:00:00,0,24.68333333,21.72131551,0.015228517,1.983333333,0
 05/24  03:00:00,0,24.425,21.3418164,0.014797653,1.783333333,0
 05/24  04:00:00,0,24.125,21.00571551,0.014446407,1.525,0
 05/24  05:00:00,0,23.825,20.7275576,0.014182466,1.283333333,0
 05/24  06:00:00,0,23.525,20.44944204,0.013922863,1.083333333,0
 05/24  07:00:00,0,24.1,21.1434652,0.014655998,1.583333333,0
 05/24  08:00:00,0,25.3,22.6235065,0.016316128,2.583333333,0
 05/24  09:00:00,0,26.5,24.17822466,0.018230854,3.583333333,0
 05/24  10:00:00,0,27,24.8303122,0.01907598,2.833333333,0
 05/24  11:00:00,0,26.825,24.0804769,0.017933926,2.583333333,0
 05/24  12:00:00,0,28.04166667,24.96841373,0.018878906,4.166666667,0
 05/24  13:00:00,0,29,25.99141127,0.020205444,5.583333333,0
 05/24  14:00:00,0,27.48333333,24.65097456,0.018621305,4.25,0
 05/24  15:00:00,0,28.5,25.22468409,0.019169057,5.333333333,0
 05/24  16:00:00,0,29.41666667,26.12260557,0.020310412,7,0
 05/24  17:00:00,0,27.13333333,24.57089428,0.01866938,5.25,0
 05/24  18:00:00,0,26.5,24.69965517,0.019145317,5.166666667,0
 05/24  19:00:00,0,26.41666667,25.35332021,0.020264428,6.583333333,0
 05/24  20:00:00,0,25.53333333,24.22688856,0.018780878,4.083333333,0
 05/24  21:00:00,0,25.66666667,24.51149654,0.019187785,4.333333333,0
 05/24  22:00:00,0,26,25.22298672,0.02022131,5.416666667,0
 05/24  23:00:00,0,26,25.22310005,0.020209188,3.25,0
 05/24  24:00:00,0,25.41666667,25.09745506,0.020238065,2,0
 05/25  01:00:00,0,25,24.99999545,0.020264622,2,0
 05/25  02:00:00,0,25.05833333,24.76419443,0.019867858,0.833333333,0
 05/25  03:00:00,0,25.04166667,24.83183016,0.019995969,0.583333333,0
 05/25  04:00:00,0,25,24.99999946,0.020294176,1.583333333,0
 05/25  05:00:00,0,25.175,24.73084188,0.019771563,2,0
 05/25  06:00:00,0,25.125,24.80848786,0.019921738,2.583333333,0
 05/25  07:00:00,0,25.58333333,25.58332611,0.021037852,3,0
 05/25  08:00:00,325.4744894,25.88333333,25.28107987,0.020383001,1.833333333,351.7243036
 05/25  09:00:00,495.4031789,27.08333333,26.17751407,0.021421742,2.166666667,462.6771422
 05/25  10:00:00,528.1460389,28,27.19096275,0.022833558,3,420.9608525
 05/25  11:00:00,541.8646683,29.16666667,26.7149875,0.02147108,3,380.7830686
 05/25  12:00:00,543.7317858,30,27.5615892,0.022675816,4.75,388.1622972
 05/25  13:00:00,497.4972972,29.41666667,27.87115329,0.023510396,6,374.4526044
 05/25  14:00:00,555.7072839,30.28333333,26.62035091,0.020866388,4.833333333,363.4523847
 05/25  15:00:00,554.9146875,29.91666667,27.31739361,0.022322981,5.166666667,376.6635878
 05/25  16:00:00,556.6280728,29,27.76279316,0.023543979,5.416666667,392.9741147
 05/25  17:00:00,576.8067403,29.525,26.3873437,0.020810608,3.25,367.6458031
 05/25  18:00:00,480.2345878,29.375,26.70436977,0.021454819,4.916666667,334.0901108
 05/25  19:00:00,347.9429814,28.41666667,27.30886459,0.022954684,6.416666667,297.825215
 05/25  20:00:00,337.6065625,28.35,26.28858244,0.021120767,3.666666667,283.4719172
 05/25  21:00:00,254.7269634,28.25,26.55181744,0.021621934,4.333333333,262.1409503
 05/25  22:00:00,0,28,27.19057317,0.022880811,6,0
 05/25  23:00:00,0,28,27.19068246,0.02286701,5.416666667,0
 05/25  24:00:00,0,28,27.19064981,0.022870952,2.083333333,0
 05/26  01:00:00,0,28,27.19057317,0.022880811,2.916666667,0
 05/26  02:00:00,0,28,26.20840519,0.021120208,2.083333333,0
 05/26  03:00:00,0,27.41666667,26.39899613,0.021705592,2.333333333,0
 05/26  04:00:00,0,27,26.99999211,0.022961139,4,0
 05/26  05:00:00,0,27.175,25.99775027,0.021103873,2.25,0
 05/26  06:00:00,0,27.125,26.28840353,0.021636567,2.75,0
 05/26  07:00:00,0,27.58333333,27.5833251,0.023778698,4,0
 05/26  08:00:00,361.9508158,28.23333333,26.78163113,0.022026253,2.25,388.9148128
 05/26  09:00:00,546.2375994,28.75,27.22114446,0.022608129,2.75,453.7620786
 05/26  10:00:00,557.0025464,29.58333333,28.33175371,0.024327398,4.583333333,489.43863
 05/26  11:00:00,562.3746647,30.11666667,27.22325093,0.022023568,4.416666667,409.8361772
 05/26  12:00:00,567.3439881,30.08333333,28.00915156,0.023520179,5.166666667,411.4549192
 05/26  13:00:00,520.6990181,30,29.15923953,0.02579199,6.583333333,422.4074522
 05/26  14:00:00,575.7009764,30.35,27.57259029,0.022607433,4.666666667,401.0242169
 05/26  15:00:00,585.0008414,30.83333333,28.15921126,0.023529228,5.333333333,413.0524061
 05/26  16:00:00,585.7405625,31,29.40720565,0.025898221,7.583333333,455.2067225
 05/26  17:00:00,584.2604856,31.7,28.03923521,0.022928087,4.5,416.4517608
 05/26  18:00:00,482.915355,30.33333333,27.77278047,0.02299277,5.5,362.4137472
 05/26  19:00:00,347.1899533,29,28.17459685,0.024327158,8,318.1046092
 05/26  20:00:00,338.5330447,29.23333333,26.87272324,0.021811775,4.5,293.7218981
 05/26  21:00:00,256.1260028,28.58333333,27.17792019,0.022631058,4.916666667,270.9636083
 05/26  22:00:00,0,28,27.9999935,0.024383828,5.833333333,0
 05/26  23:00:00,0,28,27.99999687,0.0243733,4.416666667,0
 05/26  24:00:00,0,28,27.99999289,0.024388041,4.583333333,0
 05/27  01:00:00,0,28,27.99999326,0.024398578,5.583333333,0
 05/27  02:00:00,0,28.05833333,26.77831843,0.022118427,3.083333333,0
 05/27  03:00:00,0,28.04166667,27.13207784,0.022755805,3.916666667,0
 05/27  04:00:00,0,28,27.29094995,0.023046936,4.541666667,0
 05/27  05:00:00,0,28,26.0323359,0.020784685,2.041666667,0
 05/27  06:00:00,0,28,26.97472123,0.022481818,3.333333333,0
 05/27  07:00:00,0,28,27.99999406,0.02435858,5,0
 05/27  08:00:00,368.9133408,28.46666667,27.0910421,0.022445106,3.25,410.0721878
 05/27  09:00:00,551.8159981,28.91666667,27.44279733,0.022891046,3.166666667,453.8704367
 05/27  10:00:00,574.722565,29.58333333,28.7495621,0.025092818,4.583333333,476.6946797
 05/27  11:00:00,562.97098,30.175,27.86337772,0.023145033,3.25,448.740845
 05/27  12:00:00,561.9049889,30.70833333,28.36910406,0.023884753,4.333333333,425.5477
